Plot Title: BT_TCMT40_1811_b,,,,,,,
Date,"Time, GMT-04:00","Temp, °C (LGR S/N: 20475597)",Coupler Detached (LGR S/N: 20475597),Coupler Attached (LGR S/N: 20475597),Host Connected (LGR S/N: 20475597),Stopped (LGR S/N: 20475597),End Of File (LGR S/N: 20475597)
11/1/2018,9:15:00,27.949,Logged,,,,
11/1/2018,9:45:00,27.85,,,,,
11/1/2018,10:15:00,28.023,,,,,
11/1/2018,10:45:00,27.974,,,,,
11/1/2018,11:15:00,28.468,,,,,
11/1/2018,11:45:00,29.14,,,,,
11/1/2018,12:15:00,29.59,,,,,
11/1/2018,12:45:00,30.369,,,,,
11/1/2018,13:15:00,30.748,,,,,
11/1/2018,13:45:00,31.535,,,,,
11/1/2018,14:15:00,32.691,,,,,
11/1/2018,14:45:00,33.183,,,,,
11/1/2018,15:15:00,32.587,,,,,
11/1/2018,15:45:00,32.949,,,,,
11/1/2018,16:15:00,31.816,,,,,
11/1/2018,16:45:00,31.052,,,,,
11/1/2018,17:15:00,29.815,,,,,
11/1/2018,17:45:00,28.221,,,,,
11/1/2018,18:15:00,27.038,,,,,
11/1/2018,18:45:00,26.158,,,,,
11/1/2018,19:15:00,25.113,,,,,
11/1/2018,19:45:00,24.098,,,,,
11/1/2018,20:15:00,23.28,,,,,
11/1/2018,20:45:00,22.705,,,,,
11/1/2018,21:15:00,22.274,,,,,
11/1/2018,21:45:00,21.939,,,,,
11/1/2018,22:15:00,21.676,,,,,
11/1/2018,22:45:00,21.461,,,,,
11/1/2018,23:15:00,21.342,,,,,
11/1/2018,23:45:00,21.199,,,,,
11/2/2018,0:15:00,21.079,,,,,
11/2/2018,0:45:00,21.008,,,,,
11/2/2018,1:15:00,20.96,,,,,
11/2/2018,1:45:00,20.889,,,,,
11/2/2018,2:15:00,20.841,,,,,
11/2/2018,2:45:00,20.817,,,,,
11/2/2018,3:15:00,20.77,,,,,
11/2/2018,3:45:00,20.746,,,,,
11/2/2018,4:15:00,20.698,,,,,
