Number,Date Time UTC 4,Temperature
813,11/29/18 21:00,28.122
814,11/29/18 21:15,28.097
815,11/29/18 21:30,28.122
816,11/29/18 21:45,28.097
817,11/29/18 22:00,28.097
818,11/29/18 22:15,28.072
819,11/29/18 22:30,28.097
820,11/29/18 22:45,28.072
821,11/29/18 23:00,28.072
822,11/29/18 23:15,28.097
823,11/29/18 23:30,28.097
824,11/29/18 23:45,28.097
825,11/30/18 00:00,28.072
826,11/30/18 00:15,28.072
827,11/30/18 00:30,28.072
828,11/30/18 00:45,28.072
829,11/30/18 01:00,28.048
830,11/30/18 01:15,28.048
831,11/30/18 01:30,28.048
832,11/30/18 01:45,28.023
833,11/30/18 02:00,28.023
834,11/30/18 02:15,28.072
835,11/30/18 02:30,28.023
836,11/30/18 02:45,28.023
837,11/30/18 03:00,28.048
838,11/30/18 03:15,28.097
839,11/30/18 03:30,28.122
840,11/30/18 03:45,28.122
841,11/30/18 04:00,28.122
842,11/30/18 04:15,28.147
843,11/30/18 04:30,28.147
844,11/30/18 04:45,28.171
845,11/30/18 05:00,28.147
846,11/30/18 05:15,28.122
847,11/30/18 05:30,28.122
848,11/30/18 05:45,28.097
849,11/30/18 06:00,28.097
850,11/30/18 06:15,28.097
851,11/30/18 06:30,28.097
852,11/30/18 06:45,28.097
853,11/30/18 07:00,28.072
854,11/30/18 07:15,28.072
855,11/30/18 07:30,28.072
856,11/30/18 07:45,28.072
857,11/30/18 08:00,28.048
858,11/30/18 08:15,28.048
859,11/30/18 08:30,28.048
860,11/30/18 08:45,28.048
861,11/30/18 09:00,28.048
862,11/30/18 09:15,28.048
863,11/30/18 09:30,28.048
864,11/30/18 09:45,28.072
865,11/30/18 10:00,28.072
866,11/30/18 10:15,28.072
867,11/30/18 10:30,28.097
868,11/30/18 10:45,28.097
869,11/30/18 11:00,28.097
870,11/30/18 11:15,28.097
871,11/30/18 11:30,28.122
872,11/30/18 11:45,28.097
873,11/30/18 12:00,28.147
874,11/30/18 12:15,28.122
875,11/30/18 12:30,28.122
876,11/30/18 12:45,28.122
877,11/30/18 13:00,28.171
878,11/30/18 13:15,28.171
879,11/30/18 13:30,28.147
880,11/30/18 13:45,28.122
881,11/30/18 14:00,28.147
882,11/30/18 14:15,28.147
883,11/30/18 14:30,28.122
884,11/30/18 14:45,28.147
885,11/30/18 15:00,28.122
886,11/30/18 15:15,28.122
887,11/30/18 15:30,28.147
888,11/30/18 15:45,28.147
889,11/30/18 16:00,28.147
890,11/30/18 16:15,28.122
891,11/30/18 16:30,28.122
892,11/30/18 16:45,28.122
893,11/30/18 17:00,28.122
894,11/30/18 17:15,28.122
895,11/30/18 17:30,28.097
896,11/30/18 17:45,28.097
897,11/30/18 18:00,28.072
898,11/30/18 18:15,28.072
899,11/30/18 18:30,28.072
900,11/30/18 18:45,28.072
901,11/30/18 19:00,28.072
902,11/30/18 19:15,28.072
903,11/30/18 19:30,28.048
904,11/30/18 19:45,28.072
905,11/30/18 20:00,28.072
906,11/30/18 20:15,28.048
907,11/30/18 20:30,28.072
908,11/30/18 20:45,28.072
909,11/30/18 21:00,28.072
910,11/30/18 21:15,28.048
911,11/30/18 21:30,28.048
912,11/30/18 21:45,28.048
913,11/30/18 22:00,28.048
914,11/30/18 22:15,28.048
915,11/30/18 22:30,28.072
916,11/30/18 22:45,28.072
917,11/30/18 23:00,28.097
918,11/30/18 23:15,28.097
919,11/30/18 23:30,28.122
920,11/30/18 23:45,28.147
921,12/1/18 00:00,28.122
922,12/1/18 00:15,28.122
923,12/1/18 00:30,28.122
924,12/1/18 00:45,28.122
925,12/1/18 01:00,28.097
926,12/1/18 01:15,28.072
927,12/1/18 01:30,28.048
928,12/1/18 01:45,28.048
929,12/1/18 02:00,28.048
930,12/1/18 02:15,28.048
931,12/1/18 02:30,28.048
932,12/1/18 02:45,28.048
933,12/1/18 03:00,28.048
934,12/1/18 03:15,28.048
935,12/1/18 03:30,28.048
936,12/1/18 03:45,28.048
937,12/1/18 04:00,28.072
938,12/1/18 04:15,28.072
939,12/1/18 04:30,28.048
940,12/1/18 04:45,28.023
941,12/1/18 05:00,28.072
942,12/1/18 05:15,28.072
943,12/1/18 05:30,28.122
944,12/1/18 05:45,28.147
945,12/1/18 06:00,28.171
946,12/1/18 06:15,28.171
947,12/1/18 06:30,28.171
948,12/1/18 06:45,28.147
949,12/1/18 07:00,28.122
950,12/1/18 07:15,28.097
951,12/1/18 07:30,28.097
952,12/1/18 07:45,28.072
953,12/1/18 08:00,28.072
954,12/1/18 08:15,28.072
955,12/1/18 08:30,28.072
956,12/1/18 08:45,28.097
957,12/1/18 09:00,28.072
958,12/1/18 09:15,28.072
959,12/1/18 09:30,28.097
960,12/1/18 09:45,28.097
961,12/1/18 10:00,28.072
962,12/1/18 10:15,28.097
963,12/1/18 10:30,28.122
964,12/1/18 10:45,28.122
965,12/1/18 11:00,28.072
966,12/1/18 11:15,28.122
967,12/1/18 11:30,28.122
968,12/1/18 11:45,28.072
969,12/1/18 12:00,28.072
970,12/1/18 12:15,28.122
971,12/1/18 12:30,28.147
972,12/1/18 12:45,28.196
973,12/1/18 13:00,28.147
974,12/1/18 13:15,28.147
975,12/1/18 13:30,28.171
976,12/1/18 13:45,28.171
977,12/1/18 14:00,28.171
978,12/1/18 14:15,28.171
979,12/1/18 14:30,28.097
980,12/1/18 14:45,28.122
981,12/1/18 15:00,28.122
982,12/1/18 15:15,28.122
983,12/1/18 15:30,28.122
984,12/1/18 15:45,28.122
985,12/1/18 16:00,28.147
986,12/1/18 16:15,28.122
987,12/1/18 16:30,28.122
988,12/1/18 16:45,28.122
989,12/1/18 17:00,28.097
990,12/1/18 17:15,28.097
991,12/1/18 17:30,28.072
992,12/1/18 17:45,28.072
993,12/1/18 18:00,28.072
994,12/1/18 18:15,28.048
995,12/1/18 18:30,28.048
996,12/1/18 18:45,28.048
997,12/1/18 19:00,28.048
998,12/1/18 19:15,28.023
999,12/1/18 19:30,28.097
1000,12/1/18 19:45,28.122
1001,12/1/18 20:00,28.147
1002,12/1/18 20:15,28.122
1003,12/1/18 20:30,28.147
1004,12/1/18 20:45,28.147
1005,12/1/18 21:00,28.122
1006,12/1/18 21:15,28.097
1007,12/1/18 21:30,28.048
1008,12/1/18 21:45,28.072
1009,12/1/18 22:00,28.023
1010,12/1/18 22:15,28.023
1011,12/1/18 22:30,28.023
1012,12/1/18 22:45,27.998
1013,12/1/18 23:00,27.998
1014,12/1/18 23:15,27.998
1015,12/1/18 23:30,27.974
1016,12/1/18 23:45,27.974
1017,12/2/18 00:00,27.974
1018,12/2/18 00:15,27.974
1019,12/2/18 00:30,27.949
1020,12/2/18 00:45,27.949
1021,12/2/18 01:00,27.949
1022,12/2/18 01:15,27.949
1023,12/2/18 01:30,27.924
1024,12/2/18 01:45,27.924
1025,12/2/18 02:00,27.924
1026,12/2/18 02:15,27.924
1027,12/2/18 02:30,27.924
1028,12/2/18 02:45,27.899
1029,12/2/18 03:00,27.899
1030,12/2/18 03:15,27.899
1031,12/2/18 03:30,27.899
1032,12/2/18 03:45,27.875
1033,12/2/18 04:00,27.875
