Plot Title: BT_TCBKXD_1811_b,,,,,,,
Date,"Time, GMT-04:00","Temp, °C (LGR S/N: 10508028)",Coupler Detached (LGR S/N: 10508028),Coupler Attached (LGR S/N: 10508028),Host Connected (LGR S/N: 10508028),Stopped (LGR S/N: 10508028),End Of File (LGR S/N: 10508028)
11/1/2018,5:15:00,29.115,Logged,,,,
11/1/2018,5:45:00,28.816,,,,,
11/1/2018,6:15:00,28.518,,,,,
11/1/2018,6:45:00,28.245,,,,,
11/1/2018,7:15:00,28.097,,,,,
11/1/2018,7:45:00,28.023,,,,,
11/1/2018,8:15:00,27.998,,,,,
11/1/2018,8:45:00,28.097,,,,,
11/1/2018,9:15:00,27.924,,,,,
11/1/2018,9:45:00,27.801,,,,,
11/1/2018,10:15:00,28.99,,,,,
11/1/2018,10:45:00,32.639,,,,,
11/1/2018,11:15:00,28.866,,,,,
11/1/2018,11:45:00,28.866,,,,,
11/1/2018,12:15:00,28.866,,,,,
11/1/2018,12:45:00,28.866,,,,,
11/1/2018,13:15:00,28.866,,,,,
11/1/2018,13:45:00,28.866,,,,,
11/1/2018,14:15:00,28.866,,,,,
11/1/2018,14:45:00,28.866,,,,,
11/1/2018,15:15:00,28.866,,,,,
11/1/2018,15:45:00,28.866,,,,,
11/1/2018,16:15:00,28.866,,,,,
11/1/2018,16:45:00,28.866,,,,,
11/1/2018,17:15:00,28.866,,,,,
11/1/2018,17:45:00,28.841,,,,,
11/1/2018,18:15:00,28.866,,,,,
11/1/2018,18:45:00,28.841,,,,,
11/1/2018,19:15:00,28.841,,,,,
11/1/2018,19:45:00,28.866,,,,,
11/1/2018,20:15:00,28.866,,,,,
11/1/2018,20:45:00,28.866,,,,,
11/1/2018,21:15:00,28.841,,,,,
11/1/2018,21:45:00,28.866,,,,,
11/1/2018,22:15:00,28.866,,,,,
11/1/2018,22:45:00,28.866,,,,,
11/1/2018,23:15:00,28.866,,,,,
11/1/2018,23:45:00,28.866,,,,,
11/2/2018,0:15:00,28.866,,,,,
11/2/2018,0:45:00,28.891,,,,,
11/2/2018,1:15:00,28.891,,,,,
11/2/2018,1:45:00,28.891,,,,,
11/2/2018,2:15:00,28.916,,,,,
11/2/2018,2:45:00,28.916,,,,,
11/2/2018,3:15:00,28.941,,,,,
11/2/2018,3:45:00,28.941,,,,,
11/2/2018,4:15:00,28.941,,,,,
11/2/2018,4:45:00,28.941,,,,,
11/2/2018,5:15:00,28.916,,,,,
11/2/2018,5:45:00,28.916,,,,,
11/2/2018,6:15:00,28.916,,,,,
11/2/2018,6:45:00,28.866,,,,,
11/2/2018,7:15:00,28.866,,,,,
11/2/2018,7:45:00,28.866,,,,,
11/2/2018,8:15:00,28.841,,,,,
11/2/2018,8:45:00,28.841,,,,,
11/2/2018,9:15:00,28.841,,,,,
11/2/2018,9:45:00,28.866,,,,,
11/2/2018,10:15:00,28.866,,,,,
11/2/2018,10:45:00,28.866,,,,,
11/2/2018,11:15:00,28.866,,,,,
11/2/2018,11:45:00,28.866,,,,,
11/2/2018,12:15:00,28.866,,,,,
11/2/2018,12:45:00,28.866,,,,,
11/2/2018,13:15:00,28.866,,,,,
11/2/2018,13:45:00,28.866,,,,,
11/2/2018,14:15:00,28.866,,,,,
11/2/2018,14:45:00,28.866,,,,,
11/2/2018,15:15:00,28.866,,,,,
11/2/2018,15:45:00,28.866,,,,,
11/2/2018,16:15:00,28.841,,,,,
11/2/2018,16:45:00,28.841,,,,,
11/2/2018,17:15:00,28.841,,,,,
11/2/2018,17:45:00,28.841,,,,,
11/2/2018,18:15:00,28.841,,,,,
11/2/2018,18:45:00,28.841,,,,,
11/2/2018,19:15:00,28.841,,,,,
11/2/2018,19:45:00,28.866,,,,,
11/2/2018,20:15:00,28.866,,,,,
11/2/2018,20:45:00,28.841,,,,,
11/2/2018,21:15:00,28.841,,,,,
11/2/2018,21:45:00,28.816,,,,,
11/2/2018,22:15:00,28.866,,,,,
11/2/2018,22:45:00,28.866,,,,,
11/2/2018,23:15:00,28.841,,,,,
11/2/2018,23:45:00,28.816,,,,,
11/3/2018,0:15:00,28.816,,,,,
11/3/2018,0:45:00,28.841,,,,,
