Status,Location,Project,Logger,Tag I.D.,Date On,Frequency,Duration (d),Date In,Time In,Date Full,Date Offloaded,Offloaded Filename,Date Out,Time Out,Notes,Processed,Metadata,
Full,Salt River (100'),,984708,172,9/30/2007,15,453,9/30/2007,,12/26/2008,,,,,,,,
Full,South Fish (?),,984699,na,6/28/2006,15,453,,,9/24/2007,,Unfound,,,,,,
Full,St. James,,984705,na,6/28/2006,15,453,7/19/2006,,9/24/2007,6/22/2007,"Temp-StJames May06-Feb07.csv, Temp-StJames-Jun07-Sep07.csv",,,,,,
Lost,Eagle Ray,,984712,na,1/6/2007,15,453,2/2/2007,,4/3/2008,,Lost?,,,,,,
Lost,Flat Cay,,984702,na,6/28/2006,15,453,6/28/2006,,9/24/2007,9/5/2007,"Temp-Flat-Jun06-Sep07.csv, Temp-Flat-Sep07-Jun08.csv, Temp-Flat-May08-Aug08-984702.csv, Temp-Flat-Aug08-Feb09-984702.csv",,,,,,
Lost,Salt River (30m)?,,984711,na,9/21/2009,15,453,9/21/2009,,12/18/2010,1/21/2010,Not Located in Aug 2010,,,,,,
FOUND,Sprat Hole,,984710,186,1/6/2007,15,453,2/7/2007,,4/3/2008,8/16/2011,Temp_Sprat_07Oct09Jan_984718.csv,,,,,,
Removed,Benner,,984701,157,6/23/2006,15,453,6/23/2006,,9/19/2007,2/17/2007,"Temp-Benner-Jun06-Jun07.csv, Temp-Benner-Jun07-Sep07.csv, Temp-Benner-6-22-07--6-4-08.csv, Temp-Benner-6-4-08--2-17-09.csv, Temp-Benner-Feb09-Nov09-09984701, Temp-Benner-Nov09-Jun10-984701.csv, Temp-Benner-Jun10-Oct10-984701-ok.csv",,,"Downloaded on 2/17/07? or Failed Download?  No file, Downloaded again on 6/22/07 and the file starts at 2/17/07.",,,
Removed,Black Pt.,,984706,na,6/28/2006,15,453,7/24/2006,,9/24/2007,2/17/2007,"Temp-Black Pt May06-Feb07.csv, Temp-BlackPt-Feb07-Sep07.csv, Temp-BlackPt-9-4-07--6-11-08.csv, Temp-BlackPt--6-11-08--2-19-09.csv, Temp-BlackPt-Feb09-Nov09-984706, Temp-BlackPt-Nov09-Jun10-984706.csv(WARNING: this file is Temp-BlackPt-Feb09-Nov09-984706 data with Nov09-Jun10 time stamps)",,,,,,
Removed,Botany,,984681,na,6/1/2006,1,453,6/3/2006,,8/28/2007,6/29/2007,Temp-Botany-Jun06-984681.hobo,,,"Only set to one minute interval, so only recorded until July06; Replaced with Botany 984700",,,
Removed,Botany,,984700,154,6/2/2007,15,453,6/4/07?,,8/28/2008,10/3/2007,"Temp-Botany-Oct07-Aug08-984700.csv, Temp-Botany-May09-Sep10-984700",,,,,,
Removed,Buck Is.-StT,,984680,na,6/28/2006,15,453,6/28/2006,,9/24/2007,2/17/2007,"Temp-Buck May06-Feb07.hobo, Temp-BuckStT-Sep07-Jul08-984680.csv",,,,,,
Removed,Buck Is.-StX,,984718,na,1/6/2007,15,453,2/5/2007,,4/3/2008,9/26/2007,BT_TCBKIX_0702_0709.csv,,,Removed.  Buck NPS temp monitoring within 100 m.,,,
Removed,Cane Bay (130'),,984690,158,3/30/2007,15,453,3/30/2007,,6/25/2008,,Temp-Cane Deep-Mar07-May08-984690.hobo,,,Gap in data from Jun08-Sep08,,,
Removed,Cane Bay (39m),,2023289,na,9/8/2008,15,453,9/9/2008,,12/5/2009,,,,,,,,
Removed,Cane Bay (39m),,2023288,na,4/6/2009,15,453,4/8/2009,,7/3/2010,10/11/2009,,,,,,,
Removed,Cane Bay (39m),,2023291,na,10/8/2009,15,453,,,1/4/2011,,Temp-Cane-39m-Oct09-Aug10-2023291,,,,,,
Removed,Cane Bay (39m),,9696781,na,8/8/2010,15,453,8/8/2010,,11/4/2011,,Temp-Cane39m-Jul10-Nov10-9696781-ok.csv,,,,,,
Removed,Cane Bay (9m),,2023293,na,8/17/2008,15,453,9/3/2008,,11/13/2009,10/11/2009,"Temp-Cane Shallow-Sep08-Oct09-2023293, Temp-Cane-9m-Oct09-Aug10-2023293",,,,,,
Removed,Castle,,984690,na,9/1/2008,15,453,9/10/2008,,11/28/2009,9/23/2010,"Temp-Castle-Sep08-Dec09-984690, Temp-Castle-Jan10-Aug10-984690",,,,,,
Removed,College Shoal,,984679,159,9/20/2006,15,453,9/20/2007,,12/17/2007,8/1/2008,"Temp-College Shoal-Sep07-Aug08-984679.csv, Deployment for Sep2009-Dec2010 never initialized, no data",,,,,,
Removed,Eagle Ray,,984713,na,10/17/2007,15,453,10/20/2008,,1/12/2009,9/2/2008,"Temp-Eagle-Oct07-Sep08-984713.hobo, Temp-EagleRay-Sep08-Dec09-984713",,,Found 08-09 deployment that was lost until Aug 2010.  Was located inshore just above transect 5 & 6.,,,
Removed,Eagle Ray,,984708,172,1/23/2010,15,453,1/23/2010,,4/21/2011,,Temp-EagleRay-Jan10-Aug10-984708,,,,,,
Removed,Fish Bay,,984689,174,6/28/2006,15,453,7/3/2006,,9/24/2007,4/14/2007,"Temp-Fish May06-Apr07.hobo,Temp-Fish-Apr07-Sep07.csv, Temp-Fish-Sep07-Jul08-984689.hobo, Temp-FishBay-Jun10-Sep10-984689-ok",,,,,,
Removed,Flat,,801997,na,10/4/2005,8,,,,,,,,,,,,
Removed,Flat Cay,,ND,na,3/31/2006,ND,ND,3/31/2006,,#VALUE!,,,,,,,,
Removed,Grammanik (Tiger Spawn),,984695,na,7/23/2006,15,453,7/26/2006,,10/19/2007,5/3/2007,Temp-GmkTiger-Jul26-06-May03-07.hobo,,,"Retrieved, replaced with 984683",,,
Removed,Grammanik (Tiger Spawn),,984683,na,5/3/2007,15,453,5/3/2007,,7/29/2008,7/24/2008,Temp-GrammanikTiger-Jun07-Jul08-984683.csv,,,,,,
Removed,Grammanik (Tiger Spawn),,984684,na,7/23/2008,15,453,7/24/2008,,10/19/2009,5/7/2009,,,,,,,
Removed,Grammanik (Tiger Spawn),,984693,175,5/8/2009,15,453,5/7/2009,,8/4/2010,2/25/2010,"Temp-GramTiger-May09-Feb10-984693.csv, Temp-GrammanikTiger-Feb-Dec2010-984693-ok.csv",,,,,,
Removed,Grammanik SPAG Deep,,984691,170,2/8/2007,15,453,2/8/2007,,5/6/2008,4/30/2008,Temp-GmkSPAGDeep-Feb8-07-Apr30-08.csv,,,Removed Logger on 4/30/08,,,
Removed,Grammanik SPAG Deep?,,984713,na,4/30/2008,15,453,4/30/2008,,7/27/2009,4/30/2008,,,,,,,
Removed,Great Pond,,984715,169,9/27/2007,30,906,9/27/2007,,3/21/2010,9/5/2008,"Temp-Great Pond-07-Sep08.hobo, Temp-GreatPond-Sep08-Jan10-984715",,,,,,
Removed,Hind Bank E.,,984687,na,6/28/2006,15,453,7/21/2006,,9/24/2007,5/3/2007,Temp-HindE-Jul21-06-May03-07.hobo,,,"Retrieved, replaced wtih 984684",,,
Removed,Hind Bank E.,,984684,na,5/3/2007,15,453,5/3/2007,,7/29/2008,9/5/2007,Temp-Hind_E_SPAG-May07-Sep07.csv,,,,,,
Removed,Hind Bank E.,,984704,176,9/4/2007,15,453,9/5/2007,,11/30/2008,,,,,,,,
Removed,Hind Bank E.,,984691,170,5/29/2008,15,453,5/29/2008,,8/25/2009,6/8/2009,Temp-HindE-20m-984692-Aug08-Jun09.csv,,,Retrieved 20/07/10.  Missed 3 months of recording.  Can get from ADCP.,,,
Removed,Hind Bank E. (20m),,984692,166,7/29/2008,15,453,8/15/2008,,10/25/2009,9/10/2009,Temp-HindBank-21m-Sep09-Oct10-984692.csv,,,,,,
Removed,Hind Bank E. (30m),,2023294,164,8/15/2008,15,453,8/15/2008,,11/11/2009,9/10/2009,StT-HindBank-30m-Sep09-Oct10-2023294.csv,,,,,,
Removed,Jacks Bay,,984714,152,9/27/2007,30,906,9/27/2007,,3/21/2010,9/5/2008,"Temp-Jacks-Sep08-Jan10-984714, Temp-Jacks-Jan10-Nov10-984714-ok.csv",,,,,,
Removed,Kings Corner,,984708,172,1/6/2007,15,453,1/12/2007,,4/3/2008,9/29/2007,,,,,,,
