#,"Date Time, GMT-04:00",Temp A,Temp B,Temperature_Difference,Average_temp,Flag
884,2022-12-07 12:45:00,28.27,28.295,0.02500000000000213,28.2825,False
885,2022-12-07 13:00:00,28.27,28.295,0.02500000000000213,28.2825,False
886,2022-12-07 13:15:00,28.245,28.27,0.02499999999999858,28.2575,False
887,2022-12-07 13:30:00,28.245,28.27,0.02499999999999858,28.2575,False
888,2022-12-07 13:45:00,28.245,28.27,0.02499999999999858,28.2575,False
889,2022-12-07 14:00:00,28.221,28.245,0.02400000000000091,28.233,False
890,2022-12-07 14:15:00,28.196,28.221,0.02499999999999858,28.2085,False
891,2022-12-07 14:30:00,28.196,28.221,0.02499999999999858,28.2085,False
892,2022-12-07 14:45:00,28.221,28.245,0.02400000000000091,28.233,False
893,2022-12-07 15:00:00,28.196,28.221,0.02499999999999858,28.2085,False
894,2022-12-07 15:15:00,28.295,28.32,0.02499999999999858,28.3075,False
895,2022-12-07 15:30:00,28.345,28.345,0.0,28.345,False
896,2022-12-07 15:45:00,28.32,28.345,0.02499999999999858,28.3325,False
897,2022-12-07 16:00:00,28.32,28.345,0.02499999999999858,28.3325,False
898,2022-12-07 16:15:00,28.32,28.345,0.02499999999999858,28.3325,False
899,2022-12-07 16:30:00,28.369,28.394,0.02499999999999858,28.3815,False
900,2022-12-07 16:45:00,28.394,28.419,0.02500000000000213,28.4065,False
901,2022-12-07 17:00:00,28.345,28.369,0.02400000000000091,28.357,False
902,2022-12-07 17:15:00,28.32,28.345,0.02499999999999858,28.3325,False
903,2022-12-07 17:30:00,28.32,28.345,0.02499999999999858,28.3325,False
904,2022-12-07 17:45:00,28.345,28.369,0.02400000000000091,28.357,False
905,2022-12-07 18:00:00,28.345,28.369,0.02400000000000091,28.357,False
906,2022-12-07 18:15:00,28.345,28.369,0.02400000000000091,28.357,False
907,2022-12-07 18:30:00,28.32,28.345,0.02499999999999858,28.3325,False
908,2022-12-07 18:45:00,28.32,28.345,0.02499999999999858,28.3325,False
909,2022-12-07 19:00:00,28.295,28.32,0.02499999999999858,28.3075,False
910,2022-12-07 19:15:00,28.295,28.32,0.02499999999999858,28.3075,False
911,2022-12-07 19:30:00,28.27,28.295,0.02500000000000213,28.2825,False
912,2022-12-07 19:45:00,28.27,28.295,0.02500000000000213,28.2825,False
913,2022-12-07 20:00:00,28.27,28.295,0.02500000000000213,28.2825,False
914,2022-12-07 20:15:00,28.245,28.27,0.02499999999999858,28.2575,False
915,2022-12-07 20:30:00,28.27,28.295,0.02500000000000213,28.2825,False
916,2022-12-07 20:45:00,28.245,28.27,0.02499999999999858,28.2575,False
917,2022-12-07 21:00:00,28.245,28.27,0.02499999999999858,28.2575,False
918,2022-12-07 21:15:00,28.27,28.27,0.0,28.27,False
919,2022-12-07 21:30:00,28.245,28.27,0.02499999999999858,28.2575,False
920,2022-12-07 21:45:00,28.245,28.27,0.02499999999999858,28.2575,False
921,2022-12-07 22:00:00,28.245,28.27,0.02499999999999858,28.2575,False
922,2022-12-07 22:15:00,28.245,28.27,0.02499999999999858,28.2575,False
923,2022-12-07 22:30:00,28.245,28.27,0.02499999999999858,28.2575,False
924,2022-12-07 22:45:00,28.245,28.27,0.02499999999999858,28.2575,False
925,2022-12-07 23:00:00,28.245,28.27,0.02499999999999858,28.2575,False
926,2022-12-07 23:15:00,28.245,28.27,0.02499999999999858,28.2575,False
927,2022-12-07 23:30:00,28.27,28.295,0.02500000000000213,28.2825,False
928,2022-12-07 23:45:00,28.245,28.27,0.02499999999999858,28.2575,False
929,2022-12-08 00:00:00,28.245,28.27,0.02499999999999858,28.2575,False
930,2022-12-08 00:15:00,28.245,28.27,0.02499999999999858,28.2575,False
931,2022-12-08 00:30:00,28.245,28.27,0.02499999999999858,28.2575,False
932,2022-12-08 00:45:00,28.245,28.27,0.02499999999999858,28.2575,False
933,2022-12-08 01:00:00,28.27,28.295,0.02500000000000213,28.2825,False
934,2022-12-08 01:15:00,28.245,28.27,0.02499999999999858,28.2575,False
935,2022-12-08 01:30:00,28.245,28.27,0.02499999999999858,28.2575,False
936,2022-12-08 01:45:00,28.245,28.27,0.02499999999999858,28.2575,False
937,2022-12-08 02:00:00,28.245,28.27,0.02499999999999858,28.2575,False
938,2022-12-08 02:15:00,28.245,28.27,0.02499999999999858,28.2575,False
939,2022-12-08 02:30:00,28.245,28.27,0.02499999999999858,28.2575,False
940,2022-12-08 02:45:00,28.245,28.27,0.02499999999999858,28.2575,False
941,2022-12-08 03:00:00,28.245,28.27,0.02499999999999858,28.2575,False
942,2022-12-08 03:15:00,28.245,28.27,0.02499999999999858,28.2575,False
943,2022-12-08 03:30:00,28.245,28.27,0.02499999999999858,28.2575,False
944,2022-12-08 03:45:00,28.245,28.27,0.02499999999999858,28.2575,False
945,2022-12-08 04:00:00,28.245,28.27,0.02499999999999858,28.2575,False
946,2022-12-08 04:15:00,28.245,28.27,0.02499999999999858,28.2575,False
947,2022-12-08 04:30:00,28.245,28.27,0.02499999999999858,28.2575,False
948,2022-12-08 04:45:00,28.245,28.27,0.02499999999999858,28.2575,False
949,2022-12-08 05:00:00,28.245,28.27,0.02499999999999858,28.2575,False
950,2022-12-08 05:15:00,28.245,28.27,0.02499999999999858,28.2575,False
951,2022-12-08 05:30:00,28.221,28.245,0.02400000000000091,28.233,False
952,2022-12-08 05:45:00,28.221,28.245,0.02400000000000091,28.233,False
953,2022-12-08 06:00:00,28.196,28.221,0.02499999999999858,28.2085,False
954,2022-12-08 06:15:00,28.171,28.221,0.05000000000000071,28.195999999999998,False
955,2022-12-08 06:30:00,28.221,28.221,0.0,28.221,False
956,2022-12-08 06:45:00,28.171,28.196,0.02500000000000213,28.183500000000002,False
957,2022-12-08 07:00:00,28.147,28.171,0.02400000000000091,28.159,False
958,2022-12-08 07:15:00,28.147,28.171,0.02400000000000091,28.159,False
959,2022-12-08 07:30:00,28.122,28.147,0.02499999999999858,28.1345,False
960,2022-12-08 07:45:00,28.097,28.122,0.02499999999999858,28.1095,False
961,2022-12-08 08:00:00,28.072,28.097,0.02500000000000213,28.0845,False
962,2022-12-08 08:15:00,28.048,28.072,0.02400000000000091,28.06,False
963,2022-12-08 08:30:00,28.048,28.072,0.02400000000000091,28.06,False
964,2022-12-08 08:45:00,28.048,28.072,0.02400000000000091,28.06,False
965,2022-12-08 09:00:00,28.023,28.072,0.04899999999999949,28.0475,False
966,2022-12-08 09:15:00,28.023,28.072,0.04899999999999949,28.0475,False
967,2022-12-08 09:30:00,28.048,28.072,0.02400000000000091,28.06,False
968,2022-12-08 09:45:00,28.023,28.072,0.04899999999999949,28.0475,False
969,2022-12-08 10:00:00,28.048,28.072,0.02400000000000091,28.06,False
970,2022-12-08 10:15:00,28.048,28.072,0.02400000000000091,28.06,False
971,2022-12-08 10:30:00,28.048,28.072,0.02400000000000091,28.06,False
972,2022-12-08 10:45:00,28.023,28.072,0.04899999999999949,28.0475,False
973,2022-12-08 11:00:00,27.998,28.023,0.02499999999999858,28.0105,False
974,2022-12-08 11:15:00,27.998,28.023,0.02499999999999858,28.0105,False
975,2022-12-08 11:30:00,27.924,27.949,0.02500000000000213,27.936500000000002,False
976,2022-12-08 11:45:00,27.899,27.924,0.02499999999999858,27.9115,False
977,2022-12-08 12:00:00,27.949,27.974,0.02499999999999858,27.9615,False
978,2022-12-08 12:15:00,28.147,28.171,0.02400000000000091,28.159,False
979,2022-12-08 12:30:00,28.171,28.221,0.05000000000000071,28.195999999999998,False
980,2022-12-08 12:45:00,28.171,28.196,0.02500000000000213,28.183500000000002,False
981,2022-12-08 13:00:00,28.147,28.171,0.02400000000000091,28.159,False
982,2022-12-08 13:15:00,28.122,28.147,0.02499999999999858,28.1345,False
983,2022-12-08 13:30:00,28.097,28.122,0.02499999999999858,28.1095,False
984,2022-12-08 13:45:00,28.072,28.097,0.02500000000000213,28.0845,False
985,2022-12-08 14:00:00,28.072,28.097,0.02500000000000213,28.0845,False
986,2022-12-08 14:15:00,28.072,28.097,0.02500000000000213,28.0845,False
987,2022-12-08 14:30:00,28.072,28.097,0.02500000000000213,28.0845,False
988,2022-12-08 14:45:00,28.072,28.097,0.02500000000000213,28.0845,False
989,2022-12-08 15:00:00,28.072,28.122,0.05000000000000071,28.097,False
990,2022-12-08 15:15:00,28.097,28.122,0.02499999999999858,28.1095,False
991,2022-12-08 15:30:00,28.122,28.147,0.02499999999999858,28.1345,False
992,2022-12-08 15:45:00,28.147,28.171,0.02400000000000091,28.159,False
993,2022-12-08 16:00:00,28.171,28.196,0.02500000000000213,28.183500000000002,False
994,2022-12-08 16:15:00,28.171,28.196,0.02500000000000213,28.183500000000002,False
995,2022-12-08 16:30:00,28.147,28.171,0.02400000000000091,28.159,False
996,2022-12-08 16:45:00,28.147,28.171,0.02400000000000091,28.159,False
997,2022-12-08 17:00:00,28.196,28.221,0.02499999999999858,28.2085,False
998,2022-12-08 17:15:00,28.221,28.245,0.02400000000000091,28.233,False
999,2022-12-08 17:30:00,28.295,28.32,0.02499999999999858,28.3075,False
1000,2022-12-08 17:45:00,28.245,28.27,0.02499999999999858,28.2575,False
1001,2022-12-08 18:00:00,28.295,28.32,0.02499999999999858,28.3075,False
1002,2022-12-08 18:15:00,28.245,28.27,0.02499999999999858,28.2575,False
1003,2022-12-08 18:30:00,28.196,28.221,0.02499999999999858,28.2085,False
1004,2022-12-08 18:45:00,28.171,28.196,0.02500000000000213,28.183500000000002,False
1005,2022-12-08 19:00:00,28.196,28.221,0.02499999999999858,28.2085,False
1006,2022-12-08 19:15:00,28.196,28.221,0.02499999999999858,28.2085,False
1007,2022-12-08 19:30:00,28.196,28.221,0.02499999999999858,28.2085,False
1008,2022-12-08 19:45:00,28.196,28.221,0.02499999999999858,28.2085,False
1009,2022-12-08 20:00:00,28.196,28.221,0.02499999999999858,28.2085,False
1010,2022-12-08 20:15:00,28.196,28.221,0.02499999999999858,28.2085,False
1011,2022-12-08 20:30:00,28.196,28.221,0.02499999999999858,28.2085,False
1012,2022-12-08 20:45:00,28.196,28.221,0.02499999999999858,28.2085,False
1013,2022-12-08 21:00:00,28.196,28.221,0.02499999999999858,28.2085,False
1014,2022-12-08 21:15:00,28.196,28.221,0.02499999999999858,28.2085,False
1015,2022-12-08 21:30:00,28.196,28.221,0.02499999999999858,28.2085,False
1016,2022-12-08 21:45:00,28.196,28.221,0.02499999999999858,28.2085,False
