"Date Time, GMT-04:00",Temp A,Temp B,Average,Variance
2019-10-30 16:15:00,22.417,,22.417,
2019-10-30 16:30:00,22.585,,22.585,
2019-10-30 16:45:00,22.968,,22.968,
2019-10-30 17:00:00,23.016,,23.016,
2019-10-30 17:15:00,22.848,,22.848,
2019-10-30 17:30:00,22.585,,22.585,
2019-10-30 17:45:00,22.489,,22.489,
2019-10-30 18:00:00,22.298,,22.298,
2019-10-30 18:15:00,22.345,,22.345,
2019-10-30 18:30:00,22.489,,22.489,
2019-10-30 18:45:00,22.585,,22.585,
2019-10-30 19:00:00,22.657,,22.657,
2019-10-30 19:15:00,22.681,,22.681,
2019-10-30 19:30:00,22.705,,22.705,
2019-10-30 19:45:00,22.729,,22.729,
2019-10-30 20:00:00,22.729,,22.729,
2019-10-30 20:15:00,22.753,,22.753,
2019-10-30 20:30:00,22.776,,22.776,
2019-10-30 20:45:00,22.776,,22.776,
2019-10-30 21:00:00,22.8,,22.8,
2019-10-30 21:15:00,22.992,,22.992,
2019-10-30 21:30:00,23.304,,23.304,
2019-10-30 21:45:00,23.545,,23.545,
2019-10-30 22:00:00,23.761,,23.761,
2019-10-30 22:15:00,23.954,,23.954,
2019-10-30 22:30:00,24.122,,24.122,
2019-10-30 22:45:00,24.243,,24.243,
2019-10-30 23:00:00,24.363,,24.363,
2019-10-30 23:15:00,24.484,,24.484,
2019-10-30 23:30:00,24.557,,24.557,
2019-10-30 23:45:00,24.629,,24.629,
2019-10-31 00:00:00,24.702,,24.702,
2019-10-31 00:15:00,24.75,,24.75,
2019-10-31 00:30:00,24.847,,24.847,
2019-10-31 00:45:00,24.895,,24.895,
2019-10-31 01:00:00,24.944,,24.944,
2019-10-31 01:15:00,24.992,,24.992,
2019-10-31 01:30:00,25.04,,25.04,
2019-10-31 01:45:00,25.113,,25.113,
2019-10-31 02:00:00,25.162,,25.162,
2019-10-31 02:15:00,25.21,,25.21,
2019-10-31 02:30:00,25.234,,25.234,
2019-10-31 02:45:00,25.258,,25.258,
2019-10-31 03:00:00,25.283,,25.283,
2019-10-31 03:15:00,25.307,,25.307,
2019-10-31 03:30:00,25.307,,25.307,
2019-10-31 03:45:00,25.307,,25.307,
2019-10-31 04:00:00,25.331,,25.331,
